localidade;nome_localidade;idade_calculada;renda_ind
5336;Área Rural;32;800
5316;Lago Sul;81;10380
5241;Águas Lindas de Goiás;68;1712
5241;Águas Lindas de Goiás;39;1412
5244;Cristalina;74;1412
5312;Samambaia;41;12000
5243;Cidade Ocidental;69;1302
5243;Cidade Ocidental;24;1302
5325;SCIA;66;1400
5301;Plano Piloto;27;4700
5241;Águas Lindas de Goiás;14;111
5326;Sobradinho II;33;1100
5247;Luziânia;80;3366
5247;Luziânia;77;1320
5312;Samambaia;62;600
5312;Samambaia;19;750
5323;Varjão;21;750
5242;Alexânia;56;2824
5247;Luziânia;42;1320
5244;Cristalina;33;700
5244;Cristalina;32;1400
5314;São Sebastião;47;2824
5334;Arapoanga;48;1320
5252;Valparaíso de Goiás;31;600
5252;Valparaíso de Goiás;85;2840
5252;Valparaíso de Goiás;79;1420
5325;SCIA;47;650
5245;Cocalzinho de Goiás;53;1412
5322;Sudoeste e Octogonal;26;7400
5336;Área Rural;67;1412
5243;Cidade Ocidental;66;1320
5331;Fercal;70;3000
5303;Taguatinga;52;10000
5301;Plano Piloto;50;26000
5325;SCIA;24;400
5243;Cidade Ocidental;36;650
5247;Luziânia;26;600
5336;Área Rural;69;1412
5336;Área Rural;63;1412
5335;Água Quente;34;250
5305;Sobradinho;58;7000
5246;Formosa;17;112
5311;Cruzeiro;88;3000
5330;Vicente Pires;60;1412
5251;Santo Antônio do Descoberto;36;1284
5330;Vicente Pires;75;20000
5308;Núcleo Bandeirante;66;8000
5308;Núcleo Bandeirante;83;2500
5316;Lago Sul;54;8000
5316;Lago Sul;24;3000
5317;Riacho Fundo;66;1650
5308;Núcleo Bandeirante;35;8000
5327;Jardim Botânico;26;7100
5334;Arapoanga;32;1662
5302;Gama;81;2800
5244;Cristalina;21;650
5305;Sobradinho;33;675
5325;SCIA;21;1320
5247;Luziânia;30;650
5319;Candangolândia;44;5000
5244;Cristalina;42;1320
5317;Riacho Fundo;64;11000
5303;Taguatinga;63;8000
5330;Vicente Pires;53;15000
5252;Valparaíso de Goiás;16;100
5321;Riacho Fundo II;22;590
5249;Padre Bernardo;45;2000
5248;Novo Gama;56;1320
5322;Sudoeste e Octogonal;33;11000
5325;SCIA;48;880
5312;Samambaia;23;2430
5243;Cidade Ocidental;30;800
5243;Cidade Ocidental;38;3500
5309;Ceilândia;19;400
5328;Itapoã;20;600
5328;Itapoã;10;500
5244;Cristalina;55;490
5301;Plano Piloto;59;2000
5334;Arapoanga;23;650
5306;Planaltina;29;600
5249;Padre Bernardo;38;2000
5306;Planaltina;60;1320
5311;Cruzeiro;67;1412
5334;Arapoanga;29;800
5309;Ceilândia;40;2000
5330;Vicente Pires;35;1252
5301;Plano Piloto;74;5000
5301;Plano Piloto;40;23600
5314;São Sebastião;41;1412
5314;São Sebastião;60;1662
5336;Área Rural;52;15000
5245;Cocalzinho de Goiás;49;1712
5246;Formosa;46;800
5333;Arniqueira;64;2500
5309;Ceilândia;51;550
5314;São Sebastião;49;800
5314;São Sebastião;56;500
5312;Samambaia;60;1320
5317;Riacho Fundo;63;3200
5325;SCIA;31;600
5334;Arapoanga;28;600
5331;Fercal;43;1400
5242;Alexânia;74;1412
5301;Plano Piloto;49;21910
5301;Plano Piloto;79;18300
5310;Guará;71;16000
5310;Guará;66;1400
5308;Núcleo Bandeirante;56;325
5314;São Sebastião;60;1412
5316;Lago Sul;73;38000
5316;Lago Sul;69;10000
5314;São Sebastião;70;2824
5243;Cidade Ocidental;60;600
5303;Taguatinga;34;18000
5326;Sobradinho II;64;250
5314;São Sebastião;27;1000
5244;Cristalina;65;1412
5247;Luziânia;27;250
5312;Samambaia;36;700
5328;Itapoã;60;1400
5249;Padre Bernardo;79;1712
5248;Novo Gama;48;1320
5248;Novo Gama;73;5000
5301;Plano Piloto;50;22000
5243;Cidade Ocidental;42;600
5325;SCIA;30;850
5242;Alexânia;66;1412
5333;Arniqueira;74;1412
5331;Fercal;65;1420
5242;Alexânia;43;1412
5315;Recanto Das Emas;32;600
5310;Guará;37;650
5319;Candangolândia;75;1320
5249;Padre Bernardo;38;950
5301;Plano Piloto;66;25000
5319;Candangolândia;64;600
5251;Santo Antônio do Descoberto;35;790
5319;Candangolândia;42;3500
5323;Varjão;84;1320
5319;Candangolândia;25;1500
5306;Planaltina;65;2640
5318;Lago Norte;70;3000
5315;Recanto Das Emas;50;2500
5315;Recanto Das Emas;56;1800
5315;Recanto Das Emas;70;2000
5308;Núcleo Bandeirante;63;1320
5310;Guará;70;1412
5247;Luziânia;45;1412
5247;Luziânia;19;300
5249;Padre Bernardo;70;2640
5319;Candangolândia;60;10000
5319;Candangolândia;73;2600
5327;Jardim Botânico;26;3000
5309;Ceilândia;56;1420
5309;Ceilândia;18;300
5309;Ceilândia;24;300
5330;Vicente Pires;66;1412
5330;Vicente Pires;36;600
5319;Candangolândia;72;3500
5328;Itapoã;50;600
5328;Itapoã;48;2000
5319;Candangolândia;49;5000
5319;Candangolândia;70;2000
5242;Alexânia;67;2820
5328;Itapoã;31;150
5310;Guará;62;2000
5304;Brazlândia;49;900
5245;Cocalzinho de Goiás;61;1320
5245;Cocalzinho de Goiás;67;3440
5314;São Sebastião;55;1
5314;São Sebastião;84;2
5334;Arapoanga;30;2070
5250;Planaltina de Goiás;25;600
5333;Arniqueira;64;5000
5243;Cidade Ocidental;45;600
5302;Gama;53;1320
5302;Gama;55;1350
5309;Ceilândia;28;3500
5301;Plano Piloto;55;7800
5243;Cidade Ocidental;65;2390
5243;Cidade Ocidental;66;1320
5336;Área Rural;56;10000
5250;Planaltina de Goiás;63;2640
5247;Luziânia;65;1320
5247;Luziânia;66;1320
5250;Planaltina de Goiás;27;1000
5247;Luziânia;57;1412
5247;Luziânia;53;1412
5335;Água Quente;95;2600
5335;Água Quente;70;1350
5314;São Sebastião;51;1412
5314;São Sebastião;32;1412
5327;Jardim Botânico;85;1412
5246;Formosa;66;1750
5246;Formosa;65;1412
5249;Padre Bernardo;58;1412
5249;Padre Bernardo;26;950
5330;Vicente Pires;59;8000
5330;Vicente Pires;63;1412
5249;Padre Bernardo;55;1920
5249;Padre Bernardo;36;1320
5319;Candangolândia;80;6000
5319;Candangolândia;82;10000
5305;Sobradinho;57;1420
5312;Samambaia;62;2370
5242;Alexânia;64;1412
5310;Guará;42;9500
5323;Varjão;73;1420
5301;Plano Piloto;63;5000
5301;Plano Piloto;62;1412
5327;Jardim Botânico;10;4000
5324;Park Way;67;55000
5324;Park Way;64;10000
5325;SCIA;46;500
5301;Plano Piloto;79;1412
5245;Cocalzinho de Goiás;76;1412
5245;Cocalzinho de Goiás;66;1412
5301;Plano Piloto;37;6100
5242;Alexânia;84;2824
5242;Alexânia;46;1412
5242;Alexânia;65;1412
5303;Taguatinga;63;11200
5317;Riacho Fundo;28;10500
5317;Riacho Fundo;31;6700
5301;Plano Piloto;66;30000
5306;Planaltina;49;5100
5241;Águas Lindas de Goiás;49;1100
5241;Águas Lindas de Goiás;48;500
5317;Riacho Fundo;66;10000
5329;SIA;80;1412
5326;Sobradinho II;63;600
5252;Valparaíso de Goiás;25;750
5247;Luziânia;83;2640
5309;Ceilândia;36;2500
5334;Arapoanga;58;2000
5310;Guará;79;4200
5336;Área Rural;58;8000
5336;Área Rural;59;750
5244;Cristalina;80;1412
5244;Cristalina;74;1412
5248;Novo Gama;65;1320
5314;São Sebastião;18;1300
5334;Arapoanga;63;2600
5250;Planaltina de Goiás;28;600
5242;Alexânia;55;1500
5307;Paranoá;72;1400
5333;Arniqueira;66;4000
5312;Samambaia;35;1050
5243;Cidade Ocidental;45;1200
5247;Luziânia;69;1320
5246;Formosa;70;1412
5326;Sobradinho II;69;4500
5326;Sobradinho II;64;5000
5330;Vicente Pires;68;2112
5330;Vicente Pires;77;2112
5334;Arapoanga;62;850
5301;Plano Piloto;89;15000
5323;Varjão;66;1420
5247;Luziânia;69;2640
5333;Arniqueira;69;9000
5332;Sol Nascente / Pôr do Sol;32;450
5327;Jardim Botânico;61;9000
5248;Novo Gama;55;600
5303;Taguatinga;56;7000
5303;Taguatinga;92;2640
5252;Valparaíso de Goiás;28;716
5305;Sobradinho;92;8000
5304;Brazlândia;44;800
5312;Samambaia;76;1320
5247;Luziânia;72;1320
5247;Luziânia;90;1320
5304;Brazlândia;41;1700
5242;Alexânia;55;1600
5309;Ceilândia;77;4200
5309;Ceilândia;77;4200
5309;Ceilândia;77;4200
5324;Park Way;80;5000
5324;Park Way;74;5000
5304;Brazlândia;74;3530
5301;Plano Piloto;61;31000
5301;Plano Piloto;52;12000
5330;Vicente Pires;42;600
5251;Santo Antônio do Descoberto;87;1412
5251;Santo Antônio do Descoberto;77;1412
5311;Cruzeiro;76;5000
5334;Arapoanga;53;2000
5301;Plano Piloto;41;15000
5311;Cruzeiro;66;7000
5301;Plano Piloto;48;15600
5309;Ceilândia;71;900
5309;Ceilândia;71;900
5309;Ceilândia;71;900
5305;Sobradinho;69;10000
5249;Padre Bernardo;65;1412
5316;Lago Sul;91;21000
5316;Lago Sul;86;24000
5316;Lago Sul;14;1412
5305;Sobradinho;33;1400
5248;Novo Gama;35;1900
5336;Área Rural;31;750
5305;Sobradinho;14;1600
5301;Plano Piloto;29;2000
5249;Padre Bernardo;58;400
5247;Luziânia;47;1320
5247;Luziânia;13;1320
5336;Área Rural;49;250
5336;Área Rural;28;1412
5316;Lago Sul;77;20000
5245;Cocalzinho de Goiás;70;1412
5304;Brazlândia;12;450
5301;Plano Piloto;42;9100
5243;Cidade Ocidental;37;650
5301;Plano Piloto;82;10000
5301;Plano Piloto;71;1412
5304;Brazlândia;84;1400
5241;Águas Lindas de Goiás;31;3442
5241;Águas Lindas de Goiás;46;2700
5335;Água Quente;33;450
5242;Alexânia;44;2000
5245;Cocalzinho de Goiás;57;3800
5310;Guará;53;3500
5249;Padre Bernardo;53;1250
5311;Cruzeiro;78;50000
5249;Padre Bernardo;34;1150
5329;SIA;72;1412
5244;Cristalina;16;312
5251;Santo Antônio do Descoberto;28;750
5251;Santo Antônio do Descoberto;22;800
5244;Cristalina;35;600
5241;Águas Lindas de Goiás;69;1412
5309;Ceilândia;88;1700
5333;Arniqueira;42;35000
5312;Samambaia;35;6800
5241;Águas Lindas de Goiás;65;2112
5329;SIA;38;1200
5247;Luziânia;61;2500
5242;Alexânia;38;600
5249;Padre Bernardo;20;400
5325;SCIA;55;600
5335;Água Quente;21;1330
5325;SCIA;33;4200
5249;Padre Bernardo;41;440
5243;Cidade Ocidental;78;1320
5309;Ceilândia;24;750
5301;Plano Piloto;33;15000
5334;Arapoanga;59;850
5301;Plano Piloto;79;40000
5325;SCIA;39;750
5246;Formosa;19;1220
5321;Riacho Fundo II;33;500
5306;Planaltina;61;9000
5314;São Sebastião;33;1
5314;São Sebastião;49;1
5314;São Sebastião;10;1
5331;Fercal;61;650
5331;Fercal;62;1400
5301;Plano Piloto;72;4000
5310;Guará;49;2000
5242;Alexânia;38;411
5328;Itapoã;38;3030
5328;Itapoã;85;1320
5315;Recanto Das Emas;67;4000
5315;Recanto Das Emas;76;2200
5307;Paranoá;62;1800
5332;Sol Nascente / Pôr do Sol;78;2250
5324;Park Way;78;30000
5243;Cidade Ocidental;48;600
5328;Itapoã;69;1320
5241;Águas Lindas de Goiás;57;2700
5245;Cocalzinho de Goiás;67;2640
5242;Alexânia;56;1412
5319;Candangolândia;68;1412
5327;Jardim Botânico;63;250
5327;Jardim Botânico;51;1412
5314;São Sebastião;75;1412
5325;SCIA;46;250
5301;Plano Piloto;85;7800
5304;Brazlândia;73;4252
5323;Varjão;10;240
5334;Arapoanga;71;1320
5241;Águas Lindas de Goiás;71;1320
5310;Guará;58;2500
5301;Plano Piloto;45;7000
5301;Plano Piloto;42;7000
5310;Guará;72;1320
5317;Riacho Fundo;70;4000
5301;Plano Piloto;75;9000
5301;Plano Piloto;69;20000
5249;Padre Bernardo;55;4950
5323;Varjão;33;1350
5245;Cocalzinho de Goiás;61;2012
5316;Lago Sul;82;40000
5316;Lago Sul;73;18000
5247;Luziânia;30;450
5335;Água Quente;82;1400
5241;Águas Lindas de Goiás;56;1412
5331;Fercal;74;1412
5243;Cidade Ocidental;45;600
5334;Arapoanga;50;700
5334;Arapoanga;84;1100
5325;SCIA;56;3900
5244;Cristalina;58;14322
5316;Lago Sul;85;37000
5244;Cristalina;23;1002
5301;Plano Piloto;51;21412
5241;Águas Lindas de Goiás;49;1600
5317;Riacho Fundo;33;650
5305;Sobradinho;67;2900
5308;Núcleo Bandeirante;73;7000
5315;Recanto Das Emas;76;1320
5315;Recanto Das Emas;75;1320
5326;Sobradinho II;84;1320
5302;Gama;58;4800
5302;Gama;76;1450
5303;Taguatinga;70;3500
5332;Sol Nascente / Pôr do Sol;37;950
5327;Jardim Botânico;35;25000
5243;Cidade Ocidental;30;1320
5311;Cruzeiro;53;40000
5248;Novo Gama;74;1800
5248;Novo Gama;83;1320
5243;Cidade Ocidental;69;1320
5310;Guará;73;5000
5313;Santa Maria;64;1300
5301;Plano Piloto;84;3240
5301;Plano Piloto;81;4500
5327;Jardim Botânico;56;2000
5246;Formosa;73;800
5311;Cruzeiro;52;7000
5248;Novo Gama;53;1450
5301;Plano Piloto;41;1500
5324;Park Way;59;13000
5312;Samambaia;71;1320
5312;Samambaia;76;1320
5325;SCIA;32;1400
5244;Cristalina;77;1412
5320;Águas Claras;69;8000
5301;Plano Piloto;78;18000
5251;Santo Antônio do Descoberto;77;1800
5251;Santo Antônio do Descoberto;72;1800
5248;Novo Gama;45;375
5301;Plano Piloto;73;1400
5327;Jardim Botânico;51;1800
5327;Jardim Botânico;47;600
5249;Padre Bernardo;65;2640
5317;Riacho Fundo;73;3000
5250;Planaltina de Goiás;77;1400
5249;Padre Bernardo;40;1320
5310;Guará;86;1412
5301;Plano Piloto;77;1402
5301;Plano Piloto;93;1402
5243;Cidade Ocidental;66;1320
5316;Lago Sul;27;12800
5246;Formosa;79;1412
5325;SCIA;31;900
5301;Plano Piloto;64;20000
5301;Plano Piloto;59;12000
5301;Plano Piloto;60;8000
5315;Recanto Das Emas;64;2220
5318;Lago Norte;73;10000
5312;Samambaia;45;1320
5304;Brazlândia;79;3500
5304;Brazlândia;56;1412
5244;Cristalina;29;400
5308;Núcleo Bandeirante;82;3000
5324;Park Way;59;8000
5319;Candangolândia;66;3000
5334;Arapoanga;59;1662
5305;Sobradinho;58;6000
5305;Sobradinho;31;2100
5336;Área Rural;28;950
5334;Arapoanga;69;1412
5334;Arapoanga;39;1412
5249;Padre Bernardo;78;1412
5249;Padre Bernardo;74;1412
5335;Água Quente;74;1400
5317;Riacho Fundo;47;800
5329;SIA;52;5500
5329;SIA;58;1412
5247;Luziânia;65;1412
5336;Área Rural;12;800
5326;Sobradinho II;60;600
5244;Cristalina;46;1150
5243;Cidade Ocidental;35;800
5309;Ceilândia;70;1320
5319;Candangolândia;55;6000
5247;Luziânia;26;1412
5304;Brazlândia;51;250
5302;Gama;15;1320
5242;Alexânia;43;2824
5330;Vicente Pires;70;8500
5305;Sobradinho;55;4800
5301;Plano Piloto;75;15000
5330;Vicente Pires;64;3000
5330;Vicente Pires;60;4000
5311;Cruzeiro;40;1412
5311;Cruzeiro;77;12000
5243;Cidade Ocidental;66;1500
5243;Cidade Ocidental;76;1500
5323;Varjão;49;1000
5243;Cidade Ocidental;62;2000
5316;Lago Sul;73;2000
5333;Arniqueira;55;3600
5252;Valparaíso de Goiás;68;3500
5302;Gama;56;6000
5252;Valparaíso de Goiás;72;1320
5243;Cidade Ocidental;35;1800
5334;Arapoanga;23;1100
5334;Arapoanga;70;1320
5325;SCIA;65;2622
5325;SCIA;74;1412
5245;Cocalzinho de Goiás;60;1320
5245;Cocalzinho de Goiás;65;3000
5309;Ceilândia;68;1500
5243;Cidade Ocidental;75;1320
5314;São Sebastião;51;2050
5314;São Sebastião;48;40
5247;Luziânia;27;2100
5304;Brazlândia;56;17000
5332;Sol Nascente / Pôr do Sol;50;1400
5320;Águas Claras;55;11000
5313;Santa Maria;31;1300
5334;Arapoanga;37;750
5310;Guará;66;1400
5242;Alexânia;58;400
5323;Varjão;39;900
5319;Candangolândia;75;17000
5312;Samambaia;69;1470
5314;São Sebastião;43;450
5249;Padre Bernardo;38;250
5301;Plano Piloto;60;40000
5309;Ceilândia;74;1920
5321;Riacho Fundo II;44;4300
5321;Riacho Fundo II;12;600
5244;Cristalina;82;1420
5251;Santo Antônio do Descoberto;43;750
5304;Brazlândia;60;1580
5308;Núcleo Bandeirante;48;600
5312;Samambaia;64;2000
5312;Samambaia;68;1320
5328;Itapoã;30;4700
5252;Valparaíso de Goiás;44;1420
5316;Lago Sul;77;33000
5252;Valparaíso de Goiás;35;750
5244;Cristalina;70;3200
5318;Lago Norte;74;1450
5326;Sobradinho II;71;5400
5249;Padre Bernardo;78;1412
5244;Cristalina;42;750
5330;Vicente Pires;41;3400
5305;Sobradinho;79;1420
5305;Sobradinho;80;1420
5330;Vicente Pires;50;750
5243;Cidade Ocidental;49;319
5242;Alexânia;55;600
5249;Padre Bernardo;73;1000
5249;Padre Bernardo;63;1320
5326;Sobradinho II;24;1000
5316;Lago Sul;71;25000
5316;Lago Sul;69;25000
5330;Vicente Pires;62;1412
5313;Santa Maria;25;500
5304;Brazlândia;87;2000
5312;Samambaia;64;1320
5252;Valparaíso de Goiás;23;1420
5252;Valparaíso de Goiás;63;1416
5314;São Sebastião;34;1
5302;Gama;77;1320
5302;Gama;74;1320
5330;Vicente Pires;28;900
5244;Cristalina;34;750
5316;Lago Sul;84;28000
5316;Lago Sul;70;2500
5328;Itapoã;48;1412
5309;Ceilândia;41;1320
5336;Área Rural;76;2800
5336;Área Rural;85;1800
5308;Núcleo Bandeirante;58;780
5302;Gama;34;450
5248;Novo Gama;52;1320
5330;Vicente Pires;58;750
5311;Cruzeiro;18;1200
5247;Luziânia;36;1720
5325;SCIA;56;1412
5325;SCIA;31;1412
5336;Área Rural;56;1420
5309;Ceilândia;46;1200
5309;Ceilândia;32;1320
5316;Lago Sul;86;15000
5324;Park Way;60;13000
5312;Samambaia;62;1320
5325;SCIA;45;600
5251;Santo Antônio do Descoberto;75;1420
5308;Núcleo Bandeirante;71;8800
5321;Riacho Fundo II;43;4400
5333;Arniqueira;31;1500
5251;Santo Antônio do Descoberto;49;600
5242;Alexânia;61;1412
5309;Ceilândia;38;4600
5309;Ceilândia;15;420
5303;Taguatinga;75;13200
5251;Santo Antônio do Descoberto;62;490
5323;Varjão;54;1320
5330;Vicente Pires;23;2340
5241;Águas Lindas de Goiás;41;58000
5249;Padre Bernardo;80;1412
5249;Padre Bernardo;38;700
5249;Padre Bernardo;18;1700
5249;Padre Bernardo;15;200
5302;Gama;59;10000
5319;Candangolândia;66;700
5319;Candangolândia;73;1350
5330;Vicente Pires;29;16000
5246;Formosa;69;2824
5247;Luziânia;51;600
5243;Cidade Ocidental;39;1302
5314;São Sebastião;33;850
5250;Planaltina de Goiás;69;1312
5333;Arniqueira;71;1420
5306;Planaltina;29;900
5242;Alexânia;37;1412
5242;Alexânia;18;1412
5322;Sudoeste e Octogonal;71;2604
5322;Sudoeste e Octogonal;70;1302
5307;Paranoá;61;950
5242;Alexânia;62;2824
5250;Planaltina de Goiás;30;501
5249;Padre Bernardo;35;1450
5327;Jardim Botânico;57;3000
5243;Cidade Ocidental;22;1300
5244;Cristalina;82;1420
5248;Novo Gama;50;2600
5325;SCIA;34;650
5249;Padre Bernardo;38;700
5249;Padre Bernardo;36;500
5243;Cidade Ocidental;22;1320
5304;Brazlândia;62;950
5330;Vicente Pires;62;650
5249;Padre Bernardo;52;900
5301;Plano Piloto;90;14000
5247;Luziânia;71;1320
5310;Guará;74;1500
5317;Riacho Fundo;41;3052
5317;Riacho Fundo;13;150
5317;Riacho Fundo;76;16000
5246;Formosa;52;5500
5244;Cristalina;80;1350
5246;Formosa;64;1412
5310;Guará;45;110
5246;Formosa;59;4912
5325;SCIA;46;2050
5242;Alexânia;30;2212
5331;Fercal;39;1200
5316;Lago Sul;94;20000
5248;Novo Gama;62;600
5335;Água Quente;77;1350
5321;Riacho Fundo II;57;850
5327;Jardim Botânico;75;15000
5245;Cocalzinho de Goiás;39;1012
5308;Núcleo Bandeirante;57;432
5244;Cristalina;62;2824
5321;Riacho Fundo II;38;650
5311;Cruzeiro;74;7800
5311;Cruzeiro;75;8500
5301;Plano Piloto;67;17800
5301;Plano Piloto;64;30000
5301;Plano Piloto;60;3000
5302;Gama;57;3500
5330;Vicente Pires;73;4000
5243;Cidade Ocidental;67;1320
5309;Ceilândia;64;600
5319;Candangolândia;49;12500
5249;Padre Bernardo;74;1320
5325;SCIA;62;1420
5320;Águas Claras;48;7200
5311;Cruzeiro;83;8000
5311;Cruzeiro;74;7000
5249;Padre Bernardo;67;2640
5335;Água Quente;62;1350
5247;Luziânia;44;2500
5329;SIA;59;900
5306;Planaltina;80;1320
5247;Luziânia;63;1420
5247;Luziânia;68;1420
5242;Alexânia;69;1412
5314;São Sebastião;91;1312
5323;Varjão;69;1400
5248;Novo Gama;39;600
5248;Novo Gama;10;200
5332;Sol Nascente / Pôr do Sol;69;1412
5332;Sol Nascente / Pôr do Sol;70;600
5244;Cristalina;66;1412
5244;Cristalina;65;1412
5242;Alexânia;75;1412
5313;Santa Maria;49;720
5306;Planaltina;59;3124
5306;Planaltina;21;750
5331;Fercal;65;1420
5331;Fercal;40;1420
5336;Área Rural;47;2600
5336;Área Rural;18;700
5336;Área Rural;14;700
5336;Área Rural;12;700
5333;Arniqueira;52;7000
5312;Samambaia;67;1800
5316;Lago Sul;68;10000
5336;Área Rural;49;5000
5334;Arapoanga;67;1420
5250;Planaltina de Goiás;74;2200
5246;Formosa;30;900
5242;Alexânia;59;2000
5314;São Sebastião;64;1412
5309;Ceilândia;69;2600
5303;Taguatinga;69;1300
5250;Planaltina de Goiás;16;113
5248;Novo Gama;18;500
5322;Sudoeste e Octogonal;25;14200
5325;SCIA;15;220
5317;Riacho Fundo;81;3000
5323;Varjão;43;700
5244;Cristalina;78;1412
5323;Varjão;23;1320
5320;Águas Claras;63;6000
5303;Taguatinga;57;12000
5303;Taguatinga;76;2700
5252;Valparaíso de Goiás;74;2500
5335;Água Quente;60;1350
5335;Água Quente;54;1350
5321;Riacho Fundo II;53;4580
5314;São Sebastião;52;1300
5314;São Sebastião;21;1300
5314;São Sebastião;59;1300
5247;Luziânia;62;1412
5336;Área Rural;67;10000
5246;Formosa;66;1412
5246;Formosa;56;1412
5251;Santo Antônio do Descoberto;75;1900
5330;Vicente Pires;46;500
5307;Paranoá;71;1412
5242;Alexânia;66;2840
5301;Plano Piloto;80;7000
5323;Varjão;41;1320
5314;São Sebastião;16;200
5244;Cristalina;55;1412
5322;Sudoeste e Octogonal;27;11000
5309;Ceilândia;75;1320
5309;Ceilândia;72;1320
5242;Alexânia;56;1412
5315;Recanto Das Emas;63;6500
5315;Recanto Das Emas;38;650
5328;Itapoã;48;60
5244;Cristalina;47;110
5325;SCIA;46;600
5242;Alexânia;32;800
5247;Luziânia;25;750
5247;Luziânia;53;1500
5325;SCIA;45;600
5316;Lago Sul;89;1412
5314;São Sebastião;41;850
5319;Candangolândia;23;600
5250;Planaltina de Goiás;51;2800
5247;Luziânia;33;800
5247;Luziânia;24;2100
5301;Plano Piloto;27;94000
5313;Santa Maria;82;1302
5313;Santa Maria;27;900
5242;Alexânia;56;700
5328;Itapoã;25;600
5307;Paranoá;38;250
5307;Paranoá;15;1400
5321;Riacho Fundo II;21;500
5244;Cristalina;17;1412
5317;Riacho Fundo;51;1412
5332;Sol Nascente / Pôr do Sol;73;1412
5332;Sol Nascente / Pôr do Sol;49;1412
5332;Sol Nascente / Pôr do Sol;33;9200
5243;Cidade Ocidental;64;1320
5336;Área Rural;59;600
5309;Ceilândia;36;1250
5302;Gama;102;2800
5301;Plano Piloto;33;4400
5303;Taguatinga;66;2602
5332;Sol Nascente / Pôr do Sol;32;800
5243;Cidade Ocidental;43;1302
5249;Padre Bernardo;68;1412
5249;Padre Bernardo;39;1412
5325;SCIA;56;1320
5325;SCIA;57;250
5314;São Sebastião;71;1412
5244;Cristalina;23;750
5323;Varjão;41;1300
5301;Plano Piloto;68;28000
5301;Plano Piloto;72;11000
5251;Santo Antônio do Descoberto;52;2000
5336;Área Rural;60;600
5246;Formosa;16;111
5246;Formosa;15;111
5247;Luziânia;73;1412
5244;Cristalina;37;600
5309;Ceilândia;32;906
5335;Água Quente;52;600
5335;Água Quente;74;1350
5249;Padre Bernardo;39;1420
5305;Sobradinho;58;8000
5249;Padre Bernardo;66;1420
5251;Santo Antônio do Descoberto;59;3000
5308;Núcleo Bandeirante;64;920
5335;Água Quente;28;800
5314;São Sebastião;71;1412
5321;Riacho Fundo II;50;1320
5244;Cristalina;42;600
5306;Planaltina;54;1320
5335;Água Quente;30;500
5305;Sobradinho;67;1420
5314;São Sebastião;56;600
5314;São Sebastião;60;8000
5250;Planaltina de Goiás;67;800
5326;Sobradinho II;38;600
5336;Área Rural;62;5800
5327;Jardim Botânico;75;4500
5314;São Sebastião;29;15400
5241;Águas Lindas de Goiás;66;1412
5251;Santo Antônio do Descoberto;68;1412
5303;Taguatinga;58;3800
5247;Luziânia;47;1412
5332;Sol Nascente / Pôr do Sol;20;900
5243;Cidade Ocidental;67;1320
5325;SCIA;65;1320
5325;SCIA;70;1320
5301;Plano Piloto;63;25600
5324;Park Way;61;12000
5324;Park Way;67;7500
5249;Padre Bernardo;68;1412
